Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI,district_id,district_name,year
2022,2,Clark,2316.2,Cannon JHS MS,Regular,24.0,Not Rated,YES,29.4,11.7,16.9,YES,YES,NO,NO,NO,33.1,16.6,14.1,76.3,,,,,,,41.5,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2317.2,Guinn MS,Regular,59.5,Not Rated,YES,47.7,28.4,35.7,YES,YES,YES,NO,NO,53.2,35.4,22.4,69.9,,,,,,,27.2,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2318.2,Garrett MS,Regular,83.33,Not Rated,NO,61,44.4,50,YES,YES,NO,NO,NO,65.3,52.4,,78.4,,,,,,,27.2,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2319.2,Brown JHS MS,Regular,42.5,Not Rated,YES,43,16,37,YES,YES,NO,NO,NO,46.2,23.2,48,81.7,,,,,,,36.6,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2320.2,Sandy Valley JSHS MS,Regular,52.0,Not Rated,YES,35.2,16.9,26,YES,YES,NO,NO,NO,41.3,23.2,20,72,,,,,,,22,NO,,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2320.3,Sandy Valley JSHS HS,Regular,73.5,Not Rated,YES,43.7,23.5,6.8,-,YES,NO,NO,NO,,,12.5,,95.8,73.3,60,40.9,>95,90,19.3,NO,,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2321.2,Laughlin JSHS MS,Regular,27.78,Not Rated,YES,30.7,14.1,15.2,YES,YES,YES,NO,NO,36.6,22.7,-,51.7,,,,,,,45,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2321.3,Laughlin JSHS HS,Regular,26.11,Not Rated,YES,32.6,12.7,12.7,YES,YES,NO,NO,NO,,,-,,90.6,47.6,4.7,26.8,74.5,83,49,NO,,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2322.2,OCallaghan i3 ACAD MS,Regular,79.0,Not Rated,YES,56.8,37.7,32.7,YES,YES,NO,NO,NO,60.4,41.4,46.6,87.6,,,,,,,24.4,YES,4.0,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2323.2,Johnson JHS MS,Regular,76.0,Not Rated,YES,55.7,32.2,51,YES,YES,NO,NO,NO,62.2,42.7,20.5,65.1,,,,,,,29.5,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2324.2,Greenspun JHS MS,Regular,65.5,Not Rated,NO,50.2,30.2,47.3,YES,YES,NO,NO,NO,58.2,44.3,13.5,76.6,,,,,,,26.3,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2325.2,Swainston MS,Regular,11.0,Not Rated,YES,22.5,6.8,10.8,YES,YES,NO,NO,NO,27.2,8.8,12.9,55.7,,,,,,,42.9,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2326.2,White MS,Regular,70.0,Not Rated,NO,64.2,31.3,53.9,YES,YES,NO,NO,NO,65.3,36.3,12.1,91.4,,,,,,,25,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2327.2,Becker MS,Regular,56.0,Not Rated,YES,48.2,24.8,36.5,YES,YES,NO,NO,NO,58.8,31.8,8.8,74.7,,,,,,,37.5,NO,,YES,2.0,YES,2.0,64827,Churchill,2022
2022,2,Clark,2328.2,Sawyer MS,Regular,46.5,Not Rated,YES,40.5,14.6,17.2,YES,YES,NO,NO,NO,52.3,22.4,17.6,55.7,,,,,,,38.8,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2329.2,Lyon MS,Regular,74.44,Not Rated,NO,56.3,54.3,44.4,NO,NO,YES,NO,NO,55.7,62,-,92,,,,,,,44.1,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2330.2,West Prep JSHS MS,Regular,19.5,Not Rated,YES,26.2,10,18.1,YES,YES,NO,NO,NO,31.2,15.6,12.8,66.9,,,,,,,43.2,YES,3.0,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2330.3,West Prep JSHS HS,Regular,71.5,Not Rated,YES,32.4,14.4,20.8,YES,YES,NO,NO,NO,,,22.8,,100,94.9,37.9,33.6,>95,86.5,17.7,NO,,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2331.2,Lied STEM ACAD MS,Regular,82.5,Not Rated,NO,61.1,43.7,49.3,YES,YES,NO,NO,NO,61.3,48.3,42.3,90.7,,,,,,,23.3,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2332.2,Keller MS,Regular,12.0,Not Rated,YES,20.8,<5,12.7,YES,YES,NO,NO,NO,24.1,7.4,6.4,72.2,,,,,,,44,YES,4.0,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2333.2,Molasky JHS MS,Regular,19.5,Not Rated,YES,26,9.3,18.1,YES,YES,YES,NO,NO,29.7,15.4,8.1,65.1,,,,,,,48,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2334.2,Silvestri JHS MS,Regular,30.0,Not Rated,YES,36.6,19.8,31.3,YES,YES,YES,NO,NO,36.8,21.8,10.8,74,,,,,,,35.6,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2335.2,Cortney JHS MS,Regular,19.5,Not Rated,YES,29.2,10,19.5,NO,NO,NO,NO,NO,35.6,13,12.1,46.9,,,,,,,46,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2336.2,Indian Springs MS,Regular,37.22,Not Rated,YES,46.5,15.2,33.3,YES,YES,NO,NO,NO,52.2,17.7,,61.5,,,,,,,34.7,NO,,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2337.2,Lawrence JHS MS,Regular,55.5,Not Rated,YES,42.1,19.7,31.5,YES,YES,YES,NO,NO,48.3,26.5,22.6,78.2,,,,,,,36.8,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2338.2,Miller MS,Regular,86.0,Not Rated,NO,68,46.8,51,YES,YES,YES,NO,NO,68.8,50.6,40,88.3,,,,,,,20.8,NO,,YES,2.0,YES,2.0,64827,Churchill,2022
2022,2,Clark,2339.2,Rogich MS,Regular,76.5,Not Rated,NO,73.2,51.2,49,YES,YES,NO,NO,NO,73.5,56.3,17.2,81.4,,,,,,,19,NO,,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2341.2,Leavitt MS,Regular,46.5,Not Rated,YES,46.7,24.3,41.9,YES,YES,NO,NO,NO,45,30.2,21,73.7,,,,,,,28.9,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2342.2,Cram MS,Regular,53.0,Not Rated,YES,38.7,19.6,29.6,YES,YES,NO,NO,NO,46.9,27.4,23.4,72.1,,,,,,,23.3,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2343.2,Monaco MS,Regular,40.5,Not Rated,YES,28.6,12.6,14.9,YES,YES,NO,NO,NO,38.9,22.8,17.3,67.4,,,,,,,45.1,YES,4.0,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2344.2,Schofield MS,Regular,34.0,Not Rated,YES,40.3,14,30.5,YES,YES,NO,NO,NO,44,22.2,10.2,69.2,,,,,,,36.2,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2345.2,Sedway MS,Regular,26.0,Not Rated,YES,22,8.1,21.1,YES,YES,YES,NO,NO,30.8,19,<5,79,,,,,,,46.6,YES,4.0,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2346.2,Harney MS,Regular,11.0,Not Rated,YES,26,8.4,18.7,NO,NO,YES,NO,NO,26.3,9.4,<5,68.1,,,,,,,51.4,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2347.2,Fertitta MS,Regular,64.0,Not Rated,NO,57.7,30.3,40.7,YES,YES,YES,NO,NO,62.5,31,21.6,84.5,,,,,,,23.2,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2348.2,Cadwallader MS,Regular,67.5,Not Rated,NO,51.5,35,39.1,YES,YES,YES,NO,NO,53.8,44.6,20,73.4,,,,,,,24,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2349.2,Canarelli MS,Regular,69.0,Not Rated,NO,56.7,31.5,46,NO,YES,YES,NO,NO,63.8,37.7,18,88.9,,,,,,,27.3,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2350.2,Hughes MS,Regular,55.0,Not Rated,YES,38.9,27.1,31.8,YES,YES,NO,NO,NO,44.6,36.5,23.1,87.4,,,,,,,34.7,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2352.2,Findlay MS,Regular,9.0,Not Rated,YES,21.4,7.5,13.3,YES,YES,NO,NO,NO,23.5,8.9,12.3,65.7,,,,,,,49.4,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2353.2,Mannion MS,Regular,82.5,Not Rated,NO,62.6,38,41.4,YES,YES,NO,NO,NO,66.2,47.9,50,82.9,,,,,,,21.8,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2354.2,Saville MS,Regular,55.0,Not Rated,NO,49,27.2,28.2,YES,YES,NO,NO,NO,53.4,33,<5,78.4,,,,,,,30.6,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2355.2,Webb MS,Regular,76.5,Not Rated,NO,64.2,45.3,57.4,YES,YES,NO,NO,NO,67.5,53.3,19.4,82.3,,,,,,,23,NO,,YES,2.0,YES,2.0,64827,Churchill,2022
2022,2,Clark,2356.2,Mack MS,Regular,25.5,Not Rated,YES,25,11.2,20.8,NO,NO,YES,NO,NO,30.6,15.9,16,79.4,,,,,,,45.3,YES,4.0,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2357.2,Bailey MS,Regular,24.0,Not Rated,YES,24.3,9,17.7,NO,YES,YES,NO,NO,36.1,15.8,6.7,52,,,,,,,49.6,YES,4.0,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2358.2,Odyssey MS,District Charter,69.5,Not Rated,NO,56.1,22.2,43,NO,NO,YES,NO,NO,60.8,27.4,31.5,87.1,,,,,,,<5,NO,,YES,1.0,YES,1.0,64827,Churchill,2022
2022,2,Clark,2359.2,Johnston MS,Regular,32.0,Not Rated,YES,31,10.5,16.4,NO,NO,YES,NO,NO,37.1,18,26.1,71.9,,,,,,,46.9,YES,4.0,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2360.2,Tarkanian MS,Regular,84.0,Not Rated,NO,60.1,36.8,45.5,YES,YES,NO,NO,NO,66.5,47,32.3,88,,,,,,,20.9,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2361.2,Escobedo MS,Regular,34.0,Not Rated,NO,38.4,18.1,32.1,YES,YES,YES,NO,NO,41.6,21.7,22.7,74.7,,,,,,,31.2,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2362.2,Faiss MS,Regular,66.0,Not Rated,YES,51.1,25.9,34.3,YES,YES,NO,NO,NO,61,36.8,22.2,78.6,,,,,,,26.2,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2363.2,Innovations SEC MS,District Charter,15.0,Not Rated,YES,25.3,5.6,10,YES,YES,NO,NO,NO,27.7,6.7,<5,>95,,,,,,,49.1,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2363.3,Innovations SEC HS,District Charter,55.0,Not Rated,YES,5.8,<5,7.5,-,,NO,NO,NO,,,9,,100,>95,8.3,15,>95,>95,40.5,YES,4.0,NO,,NO,,64827,Churchill,2022
2022,2,,2364.2,100 Academy 6-8 MS,District Charter,12.22,Not Rated,YES,5.2,<5,8.3,YES,NO,YES,NO,NO,12.2,<5,-,40.5,,,,,,,26.7,NO,,YES,1.0,YES,1.0,64827,Churchill,2022
