Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,ATSI,Yrs In Designation As ATSI,CSI-MRI,Yrs In Designation As CSI-MRI
2026,18,"State Public Charter School Authority ",48433.3,Equipo ACAD HS,Regular,80,4,YES,42.3,16.3,14.7,YES,YES,N/A,N/A,20.9,N/A,99.2,>95,47.3,61.7,90.2,>95,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",49100.1,Mater Cactus Park ES,Regular,42.5,2,YES,38.3,23.8,<5,YES,YES,42.7,36.5,45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.8,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",49432.1,Mater Mtn Vista ES,Regular,73,4,YES,52,48.8,22.3,YES,YES,55.8,54.9,50.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",49432.2,Mater Mtn Vista MS,Regular,89,5,YES,61.4,47.1,35.8,YES,YES,63.9,45.3,35.1,>95,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",49433.1,Mater Bonanza ES,Regular,91,5,YES,54.1,64.4,5.3,YES,YES,66.9,77.9,59.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",49433.2,Mater Bonanza MS,Regular,62.5,3,YES,45.1,31,31.7,YES,YES,48.2,33.2,19.1,>95,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",49434.1,Mater East ES,Regular,68.5,4,YES,55.4,51.5,11.7,YES,YES,50.3,49.1,55.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",49434.2,Mater East MS,Regular,60.5,3,YES,48.3,32.8,29.2,YES,YES,45.6,33.9,28.7,>95,N/A,N/A,N/A,N/A,N/A,N/A,5.4,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",49434.3,Mater East HS,Regular,78,4,YES,39.9,7.2,17.2,YES,YES,N/A,N/A,18,N/A,100,>95,>95,53.1,>95,>95,6.5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",50431.1,Amplus Durango ES,Regular,81.5,4,NO,65.6,64.3,14.5,YES,YES,65.6,55.1,47.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.6,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",50431.2,Amplus Durango MS,Regular,85.5,5,NO,70.4,54.7,58,YES,YES,70.2,51.9,29,87.2,N/A,N/A,N/A,N/A,N/A,N/A,5.8,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",50431.3,Amplus Durango HS,Regular,91.5,5,NO,77.4,39,36,YES,YES,N/A,N/A,25,N/A,97.4,70,62.4,77.9,>95,>95,14.6,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",50432.1,Amplus Rainbow ES,Regular,74.5,4,YES,68.2,63.4,48,YES,YES,59.2,51,70.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",51430.1,Founders ACAD ES,Regular,78.5,4,NO,56.4,52.3,21.1,YES,YES,65.4,51.3,38.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",51430.2,Founders ACAD MS,Regular,67.5,3,NO,48.4,38.4,31.5,YES,YES,46.9,37.9,10.7,89.3,N/A,N/A,N/A,N/A,N/A,N/A,6.1,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",51430.3,Founders ACAD HS,Regular,90.5,5,NO,83.5,44.7,45.3,YES,YES,N/A,N/A,35.2,N/A,98.7,>95,16.6,66.6,>95,>95,6,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",52429.1,Leadership ACAD ES,Regular,34.6,2,YES,50,21.8,27.2,YES,YES,50,14.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",52429.2,Leadership ACAD MS,Regular,57.2,3,YES,51.3,34.2,31.5,YES,YES,43.8,34.2,-,71.1,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",52429.3,Leadership ACAD HS,Regular,76.6,4,YES,58.6,41.3,31.7,YES,YES,N/A,N/A,-,N/A,90.6,51.8,25.9,44,89.2,90,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",54428.1,Learning Bridge ES,Regular,63.3,3,NO,36,26.6,27.7,YES,YES,52.7,34.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.1,NO,N/A,NO,NO,N/A,NO,N/A
