Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,ATSI,Yrs In Designation As ATSI,CSI-MRI,Yrs In Designation As CSI-MRI
2026,16,Washoe,16282.2,High Desert CS MS,Regular,48.3,2,NO,41.7,13.4,39.2,YES,YES,43.5,12.9,-,93.1,N/A,N/A,N/A,N/A,N/A,N/A,12.6,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16301.2,Clayton Academy MS,Regular,46,2,YES,44,30.7,30.3,NO,NO,43.1,30.2,34.5,93.5,N/A,N/A,N/A,N/A,N/A,N/A,32.7,NO,N/A,YES,NO,N/A,NO,N/A
2026,16,Washoe,16302.2,Pine MS,Regular,19,1,YES,21.7,7.6,12.8,YES,YES,21.3,7.2,14.9,65.4,N/A,N/A,N/A,N/A,N/A,N/A,28.6,YES,2,NO,NO,N/A,NO,N/A
2026,16,Washoe,16303.2,Swope MS,Regular,53,3,NO,54.1,47.8,45.3,NO,YES,48.8,44.4,19,81.5,N/A,N/A,N/A,N/A,N/A,N/A,16.2,NO,N/A,NO,YES,2,NO,N/A
2026,16,Washoe,16304.2,Vaughn MS,Regular,25,1,YES,19.4,13.1,14,YES,YES,22.2,14.8,26.2,90.4,N/A,N/A,N/A,N/A,N/A,N/A,35.4,NO,N/A,NO,YES,2,NO,N/A
2026,16,Washoe,16305.2,Traner MS,Regular,30,2,YES,26.1,15.3,13,YES,YES,28.2,18.3,24.2,77.2,N/A,N/A,N/A,N/A,N/A,N/A,32.7,NO,N/A,NO,YES,3,NO,N/A
2026,16,Washoe,16306.2,Dilworth MS,Regular,24.5,1,YES,25.8,15.1,20.2,NO,YES,24.7,15.2,25.1,82.8,N/A,N/A,N/A,N/A,N/A,N/A,28.8,NO,N/A,NO,YES,2,NO,N/A
2026,16,Washoe,16307.2,Sparks MS,Regular,26.5,1,YES,22.5,15.9,12.1,YES,YES,22.7,14.1,32.2,80.2,N/A,N/A,N/A,N/A,N/A,N/A,22.3,NO,N/A,YES,NO,N/A,NO,N/A
2026,16,Washoe,16308.2,OBrien MS,Regular,23,1,YES,23.2,13.6,21.7,YES,YES,23.2,16.1,16.2,93,N/A,N/A,N/A,N/A,N/A,N/A,30.5,NO,N/A,NO,YES,3,NO,N/A
2026,16,Washoe,16309.2,Incline MS,Regular,78.5,4,NO,47.7,36.9,35.7,YES,YES,48,45.1,44.8,>95,N/A,N/A,N/A,N/A,N/A,N/A,17.7,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16310.2,Billinghurst MS,Regular,70.5,4,NO,52.2,51,44.2,NO,NO,51.2,53.8,44.4,81.8,N/A,N/A,N/A,N/A,N/A,N/A,18.1,NO,N/A,NO,YES,2,NO,N/A
2026,16,Washoe,16311.2,Mendive MS,Regular,49.5,2,NO,44.2,31.2,33.7,NO,NO,41.4,30.5,33.9,68.9,N/A,N/A,N/A,N/A,N/A,N/A,19.2,NO,N/A,NO,YES,1,NO,N/A
2026,16,Washoe,16312.3,Coral Acad HS,Regular,95,5,NO,83.9,47.1,37.9,YES,YES,N/A,N/A,15.7,N/A,99,81.1,75.2,89.3,93.7,93.6,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16315.2,Depoali MS,Regular,81,5,NO,55.2,45.4,50.5,YES,YES,56,46.3,43.8,90.7,N/A,N/A,N/A,N/A,N/A,N/A,12.3,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16316.2,Shaw MS,Regular,35,2,NO,42,32.5,34.5,YES,YES,38.3,27.7,21.4,78.7,N/A,N/A,N/A,N/A,N/A,N/A,19.9,NO,N/A,NO,YES,1,NO,N/A
2026,16,Washoe,16317.2,Cold Springs MS,Regular,25.5,1,NO,32.1,16.2,29.6,YES,YES,32.3,16.3,17,71,N/A,N/A,N/A,N/A,N/A,N/A,23.7,NO,N/A,NO,YES,3,NO,N/A
