class_year,school_name,entity_id,sponsor_bucket,charter_authorizer,model_type,reported_as_high_school,acgr_row_present,published_rate_status,latest_confirmed_in_grad_materials,base_reference,rate_source_url,published_overall_acgr,published_overall_acgr_code,rate_low,rate_mid,rate_high,cohort_count,graduate_count,weight_source,include_in_sector_total,notes
2014-15,Quest Academy,18408,SPCSA,State Public Charter School Authority,brick_and_mortar,yes,yes,numeric,2014-15,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,70.3,numeric,70.3,70.3,70.3,27,19,Nevada Report Card cohort4yr portal school report,yes,Legacy SPCSA school recovered from the Nevada Report Card cohort4yr portal; crosswalk to later entities remains unresolved.
2014-15,Beacon Acad,18409,SPCSA,State Public Charter School Authority,alternative,yes,yes,numeric,2014-15,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,56.5,numeric,56.5,56.5,56.5,115,65,Nevada Report Card cohort4yr portal school report,yes,Recovered from the Nevada Report Card cohort4yr portal as Beacon Academy of Nevada.
2014-15,Alpine Acad,18412,SPCSA,State Public Charter School Authority,alternative,yes,yes,topcoded,2014-15,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,>95,topcoded,95.0,97.5,100.0,40,39,Nevada Report Card cohort4yr portal school report,yes,Recovered from the Nevada Report Card cohort4yr portal as Alpine Academy College Preparatory High School.
2014-15,Innovations Int'l Charter J-SHS,02363,district_authorized,Clark County School District,brick_and_mortar,yes,yes,numeric,2014-15,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y13.y23&organization=c32862&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,52.3,numeric,52.3,52.3,52.3,21,11,Nevada Report Card cohort4yr portal school report,yes,Recovered from the Nevada Report Card cohort4yr portal as Innovations International Charter School of NV.
2014-15,Odyssey Charter Schools 9-12 HS,02614,district_authorized,Clark County School District,brick_and_mortar,yes,yes,numeric,2014-15,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y13.y23&organization=c32862&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,58.8,numeric,58.8,58.8,58.8,442,260,Nevada Report Card cohort4yr portal school report,yes,Recovered from the Nevada Report Card cohort4yr portal as Odyssey Charter High School.
2014-15,Explore Knowledge Academy J-SHS,02616,district_authorized,Clark County School District,brick_and_mortar,yes,yes,public_rate_unavailable,2014-15,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y13.y23&organization=c32862&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,-,public_rate_unavailable,,,,10,,Nevada Report Card cohort4yr portal school report,yes,Recovered from the Nevada Report Card cohort4yr portal as Explore Knowledge Academy Charter Secondary; the school appears in the graduation universe but no usable public rate is shown in the portal row.
2014-15,The Delta Academy J-SHS,02621,district_authorized,Clark County School District,brick_and_mortar,yes,yes,numeric,2014-15,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y13.y23&organization=c32862&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,17.1,numeric,17.1,17.1,17.1,128,22,Nevada Report Card cohort4yr portal school report,yes,Recovered from the Nevada Report Card cohort4yr portal as Delta Academy.
2014-15,Academy for Career Education Charter,16608,district_authorized,Washoe County School District,brick_and_mortar,yes,yes,numeric,2014-15,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y13.y23&organization=c32862&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,90.6,numeric,90.6,90.6,90.6,43,39,Nevada Report Card cohort4yr portal school report,yes,Recovered from the Nevada Report Card cohort4yr portal as Academy of Career Education Charter School.
2014-15,Coral Academy of Science Charter,16312,district_authorized,Washoe County School District,brick_and_mortar,yes,yes,numeric,2014-15,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y13.y23&organization=c32862&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,79.3,numeric,79.3,79.3,79.3,29,23,Nevada Report Card cohort4yr portal school report,yes,Recovered from the Nevada Report Card cohort4yr portal as Coral Academy Charter School Secondary.
2014-15,ICDA Charter HS,16604,district_authorized,Washoe County School District,alternative,yes,yes,numeric,2014-15,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y13.y23&organization=c32862&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,28.5,numeric,28.5,28.5,28.5,105,30,Nevada Report Card cohort4yr portal school report,yes,Recovered from the Nevada Report Card cohort4yr portal as I Can Do Anything Charter High School.
