school_name,school_code,authorizer,model_type,operating_school_year,accountability_reporting_year,legal_charter,grade_9_count,grade_10_count,grade_11_count,grade_12_count,has_grade_12,acgr_row_exists,include_in_charter_grad_universe,exclusion_reason,confidence,source_file,source_url,date_accessed
Beacon Acad,,State Public Charter School Authority,alternative,2018-19,2019-20,yes,,,,,yes,yes,yes,,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
CASLV Sandy Ridge,,State Public Charter School Authority,brick_and_mortar,2018-19,2019-20,yes,,,,,yes,yes,yes,,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
Doral Red Rock,,State Public Charter School Authority,brick_and_mortar,2018-19,2019-20,yes,,,,,no,no,no,no_grade_12_or_no_acgr,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
Equipo Acad,,State Public Charter School Authority,alternative,2018-19,2019-20,yes,,,,,yes,yes,yes,,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
Founders Acad,,State Public Charter School Authority,brick_and_mortar,2018-19,2019-20,yes,,,,,yes,yes,yes,,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
Leadership Acad,,State Public Charter School Authority,alternative,2018-19,2019-20,yes,,,,,yes,yes,yes,,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
NSHS Downtown,,State Public Charter School Authority,brick_and_mortar,2018-19,2019-20,yes,,,,,yes,yes,yes,,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
NSHS Dtwn Henderson,,State Public Charter School Authority,brick_and_mortar,2018-19,2019-20,yes,,,,,no,no,no,no_grade_12_or_no_acgr,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
NSHS Henderson,,State Public Charter School Authority,brick_and_mortar,2018-19,2019-20,yes,,,,,yes,yes,yes,,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
NSHS Meadowwood,,State Public Charter School Authority,brick_and_mortar,2018-19,2019-20,yes,,,,,yes,yes,yes,,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
