year,series_id,series_label,cohort,graduates,weighted_acgr,low_acgr,likely_acgr,high_acgr,included_school_count,suppressed_school_count,current_unweighted_panel_avg,notes
2021-22,washoe_charter_total,Washoe Charter Total,163,149,91.41,88.74,90.69,92.64,3,2,87.22,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 87.22%.
2022-23,statewide_official,Statewide Official,38348,31212,81.3,81.3,81.3,81.3,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 81.39%
2022-23,spcsa_official,SPCSA Official,2646,2218,83.8,83.8,83.8,83.8,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 83.82%
2022-23,clark_official,Clark Official,26596,21675,81.4,81.4,81.4,81.4,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 81.5%
2022-23,washoe_official,Washoe Official,5168,4208,81.4,81.4,81.4,81.4,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 81.42%
2022-23,spcsa_adjusted_charter_only,SPCSA Charter Only,2646,2218,83.82,82.45,83.12,83.79,26,10,92.44,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 92.44%.
2022-23,spcsa_brick_mortar,SPCSA Brick & Mortar,1603,1580,98.57,96.61,97.57,98.54,20,9,97.18,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 97.18%.
2022-23,spcsa_virtual,SPCSA Virtual,539,456,84.6,84.52,84.52,84.52,2,0,84.35,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 84.35%.
2022-23,spcsa_alternative,SPCSA Alternative,504,182,36.11,35.21,35.66,36.11,4,1,72.78,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 72.78%.
2022-23,clark_charter_total,Clark Charter Total,757,668,88.24,88.11,88.25,88.38,4,2,91.8,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 91.8%.
2022-23,washoe_charter_total,Washoe Charter Total,137,128,93.43,89.96,92.06,94.16,3,2,86.21,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 86.21%.
2023-24,statewide_official,Statewide Official,39180,31978,81.6,81.6,81.6,81.6,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 81.62%
2023-24,spcsa_official,SPCSA Official,3294,2744,83.3,83.3,83.3,83.3,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 83.3%
2023-24,clark_official,Clark Official,26668,21736,81.5,81.5,81.5,81.5,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 81.51%
2023-24,washoe_official,Washoe Official,5103,4184,81.9,81.9,81.9,81.9,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 81.99%
2023-24,spcsa_adjusted_charter_only,SPCSA Charter Only,3286,2738,83.32,80.94,82.42,83.91,27,21,92.11,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 92.11%.
2023-24,spcsa_brick_mortar,SPCSA Brick & Mortar,1963,1935,98.57,94.68,97.11,99.54,21,20,95.83,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 95.83%.
2023-24,spcsa_virtual,SPCSA Virtual,645,547,84.81,84.75,84.75,84.75,2,0,84.85,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 84.85%.
2023-24,spcsa_alternative,SPCSA Alternative,678,256,37.76,37.55,37.69,37.83,4,1,75.25,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 75.25%.
2023-24,clark_charter_total,Clark Charter Total,736,639,86.82,86.77,86.85,86.92,4,1,88.7,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 88.7%.
2023-24,washoe_charter_total,Washoe Charter Total,171,152,88.89,87.49,88.17,88.84,3,1,86.87,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 86.87%.
2024-25,statewide_official,Statewide Official,39975,34175,85.4,85.4,85.4,85.4,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 85.49%
2024-25,spcsa_official,SPCSA Official,3576,2956,82.6,82.6,82.6,82.6,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 82.66%
2024-25,clark_official,Clark Official,27066,23443,86.6,86.6,86.6,86.6,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 86.61%
2024-25,washoe_official,Washoe Official,5326,4439,83.3,83.3,83.3,83.3,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 83.35%
2024-25,spcsa_adjusted_charter_only,SPCSA Charter Only,3541,2928,82.69,81.72,82.21,82.7,27,10,87.77,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 87.77%.
2024-25,spcsa_brick_mortar,SPCSA Brick & Mortar,2095,2068,98.71,97.17,97.96,98.74,20,9,92.43,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 92.43%.
2024-25,spcsa_virtual,SPCSA Virtual,604,515,85.26,85.24,85.24,85.24,2,0,85.1,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 85.1%.
2024-25,spcsa_alternative,SPCSA Alternative,842,345,40.97,40.73,40.84,40.94,5,1,67.38,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 67.38%.
2024-25,clark_charter_total,Clark Charter Total,923,825,89.38,89.18,89.25,89.31,4,1,91.7,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 91.7%.
2024-25,washoe_charter_total,Washoe Charter Total,170,162,95.29,93.89,94.87,95.86,3,1,94.17,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 94.17%.
