school_year,level_band,rating_bucket_5level,rating_bucket_3level,enrollment,enrollment_share,school_count,data_status
2017-18,MS,Collapsed,4-5,5865.0,0.47818997146351405,21,standard_reporting
2017-18,MS,Collapsed,Not Rated,0.0,0.0,0,standard_reporting
2018-19,ES,1,1-2,1081.0,0.04126111683652048,2,standard_reporting
2018-19,ES,2,1-2,8403.0,0.32073743272643995,17,standard_reporting
2018-19,ES,3,3,3188.0,0.12168403374174587,8,standard_reporting
2018-19,ES,4,4-5,6183.0,0.23600137409824803,13,standard_reporting
2018-19,ES,5,4-5,6950.0,0.26527730066033056,11,standard_reporting
2018-19,ES,Not Rated,Not Rated,394.0,0.015038741936715143,1,standard_reporting
2018-19,ES,Collapsed,1-2,9484.0,0.3619985495629604,19,standard_reporting
2018-19,ES,Collapsed,3,3188.0,0.12168403374174587,8,standard_reporting
2018-19,ES,Collapsed,4-5,13133.0,0.5012786747585786,24,standard_reporting
2018-19,ES,Collapsed,Not Rated,394.0,0.015038741936715143,1,standard_reporting
2018-19,HS,1,1-2,2361.0,0.24059920513604402,5,standard_reporting
2018-19,HS,2,1-2,1532.0,0.15611943340466727,3,standard_reporting
2018-19,HS,3,3,2761.0,0.28136145928869866,6,standard_reporting
2018-19,HS,4,4-5,514.0,0.052379496586161214,2,standard_reporting
2018-19,HS,5,4-5,1736.0,0.17690818302252115,7,standard_reporting
2018-19,HS,Not Rated,Not Rated,909.0,0.09263222256190767,3,standard_reporting
2018-19,HS,Collapsed,1-2,3893.0,0.3967186385407113,8,standard_reporting
2018-19,HS,Collapsed,3,2761.0,0.28136145928869866,6,standard_reporting
2018-19,HS,Collapsed,4-5,2250.0,0.22928767960868235,9,standard_reporting
2018-19,HS,Collapsed,Not Rated,909.0,0.09263222256190767,3,standard_reporting
2018-19,MS,1,1-2,86.0,0.005978449774070212,1,standard_reporting
2018-19,MS,2,1-2,2034.0,0.14139728884254432,5,standard_reporting
2018-19,MS,3,3,2396.0,0.16656239137990964,9,standard_reporting
2018-19,MS,4,4-5,2631.0,0.18289885297184566,8,standard_reporting
2018-19,MS,5,4-5,7238.0,0.5031630170316301,29,standard_reporting
2018-19,MS,Not Rated,Not Rated,0.0,0.0,0,standard_reporting
2018-19,MS,Collapsed,1-2,2120.0,0.14737573861661452,6,standard_reporting
