school_year,level_band,rating_bucket_5level,rating_bucket_3level,enrollment_share
2018-19,ES,3,3,0.12168403374174587
2018-19,ES,4,4-5,0.23600137409824803
2018-19,ES,5,4-5,0.26527730066033056
2018-19,ES,Not Rated,Not Rated,0.015038741936715143
2018-19,ES,Collapsed,1-2,0.3619985495629604
2018-19,ES,Collapsed,3,0.12168403374174587
2018-19,ES,Collapsed,4-5,0.5012786747585786
2018-19,ES,Collapsed,Not Rated,0.015038741936715143
2018-19,HS,1,1-2,0.24059920513604402
2018-19,HS,2,1-2,0.15611943340466727
2018-19,HS,3,3,0.28136145928869866
2018-19,HS,4,4-5,0.052379496586161214
2018-19,HS,5,4-5,0.17690818302252115
2018-19,HS,Not Rated,Not Rated,0.09263222256190767
2018-19,HS,Collapsed,1-2,0.3967186385407113
2018-19,HS,Collapsed,3,0.28136145928869866
2018-19,HS,Collapsed,4-5,0.22928767960868235
2018-19,HS,Collapsed,Not Rated,0.09263222256190767
2018-19,MS,1,1-2,0.005978449774070212
2018-19,MS,2,1-2,0.14139728884254432
2018-19,MS,3,3,0.16656239137990964
2018-19,MS,4,4-5,0.18289885297184566
2018-19,MS,5,4-5,0.5031630170316301
2018-19,MS,Not Rated,Not Rated,0.0
2018-19,MS,Collapsed,1-2,0.14737573861661452
2018-19,MS,Collapsed,3,0.16656239137990964
2018-19,MS,Collapsed,4-5,0.6860618700034758
2018-19,MS,Collapsed,Not Rated,0.0
2019-20,ES,1,1-2,0.04469409759660534
2019-20,ES,2,1-2,0.2848248756564989
2019-20,ES,3,3,0.1113352579040729
2019-20,ES,4,4-5,0.21804458975339988
2019-20,ES,5,4-5,0.2448262669124552
2019-20,ES,Not Rated,Not Rated,0.09627491217696776
2019-20,ES,Collapsed,1-2,0.32951897325310425
2019-20,ES,Collapsed,3,0.1113352579040729
2019-20,ES,Collapsed,4-5,0.4628708566658551
2019-20,ES,Collapsed,Not Rated,0.09627491217696776
2019-20,HS,1,1-2,0.2088248954946586
2019-20,HS,2,1-2,0.16377148165350675
2019-20,HS,3,3,0.2562935438922434
2019-20,HS,4,4-5,0.05081281932187645
2019-20,HS,5,4-5,0.16702275894101254
2019-20,HS,Not Rated,Not Rated,0.1532745006967023
2019-20,HS,Collapsed,1-2,0.37259637714816535
2019-20,HS,Collapsed,3,0.2562935438922434
2019-20,HS,Collapsed,4-5,0.217835578262889
2019-20,HS,Collapsed,Not Rated,0.1532745006967023
2019-20,MS,1,1-2,0.006151360755561079
2019-20,MS,2,1-2,0.11936125264073567
2019-20,MS,3,3,0.15198210513234747
2019-20,MS,4,4-5,0.17751957251149497
2019-20,MS,5,4-5,0.49620976761526037
2019-20,MS,Not Rated,Not Rated,0.04877594134460047
2019-20,MS,Collapsed,1-2,0.12551261339629677
2019-20,MS,Collapsed,3,0.15198210513234747
2019-20,MS,Collapsed,4-5,0.6737293401267553
2019-20,MS,Collapsed,Not Rated,0.04877594134460047
2020-21,ES,1,1-2,0.0011005016993040945
2020-21,ES,2,1-2,0.2749959540378702
2020-21,ES,3,3,0.0964233694772617
2020-21,ES,4,4-5,0.208189027350704
